20201229001,(AV:L/AC:L/Au:N/C:N/I:N/A:C)
20201229002,(AV:N/AC:H/Au:N/C:N/I:N/A:P)
20201229003,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
20201229004,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
20201229005,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
20201229006,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
20201229007,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
20201229008,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
20201229009,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L
20201229010,(AV:L/AC:L/Au:N/C:P/I:N/A:N)
20201229011,(AV:N/AC:L/Au:N/C:P/I:N/A:N)
20201229012,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N
20201229013,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
20201229014,CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
20201229015,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N
20201229016,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
20201229017,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
20201229018,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
20201229019,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
20201229020,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
20201229021,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
20201229022,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
20201229023,(AV:N/AC:L/Au:N/C:N/I:N/A:C)
20201229024,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
20201229025,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
20201229026,CVSS:3.0/AV:N/AC:L/PR:H/UI:R/S:C/C:L/I:L/A:N
20201229027,(AV:N/AC:M/Au:N/C:P/I:N/A:N)
20201229028,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
20201229029,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
20201229030,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
20201229031,(AV:N/AC:L/Au:S/C:N/I:P/A:N)
20201229032,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
20201229033,(AV:N/AC:M/Au:N/C:N/I:P/A:N)
20201229034,(AV:N/AC:M/Au:N/C:N/I:P/A:N)
20201229035,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
20201229036,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N
20201229037,CVSS:3.0/AV:N/AC:L/PR:H/UI:R/S:C/C:L/I:L/A:N
20201229038,(AV:N/AC:L/Au:S/C:P/I:P/A:P)
20201229039,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N
20201229040,(AV:N/AC:L/Au:N/C:P/I:N/A:N)
20201229041,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
20201229042,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
20201229043,CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:H/A:N
20201229044,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
20201229045,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
20201229046,CVSS:3.0/AV:N/AC:L/PR:H/UI:R/S:C/C:L/I:L/A:N
20201229047,CVSS:3.0/AV:N/AC:L/PR:H/UI:R/S:C/C:L/I:L/A:N
20201229048,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N
20201229049,(AV:N/AC:L/Au:N/C:N/I:P/A:N)
20201229050,(AV:N/AC:L/Au:S/C:P/I:P/A:P)
20201229051,(AV:N/AC:M/Au:S/C:P/I:P/A:P)
20201229052,CVSS:3.0/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H
20201229053,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
20201229054,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
20201229055,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
20201229056,(AV:N/AC:L/Au:N/C:P/I:N/A:N)
20201229057,(AV:N/AC:L/Au:N/C:P/I:N/A:N)
20201229058,(AV:N/AC:L/Au:N/C:P/I:N/A:N)
20201229059,(AV:N/AC:L/Au:N/C:P/I:N/A:N)
20201229060,(AV:N/AC:L/Au:N/C:P/I:N/A:N)
20201229061,(AV:N/AC:L/Au:N/C:P/I:N/A:N)
20201229062,(AV:N/AC:L/Au:N/C:P/I:N/A:N)
20201229063,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H
20201229064,(AV:L/AC:L/Au:N/C:P/I:N/A:N)
20201229065,(AV:N/AC:M/Au:N/C:P/I:N/A:N)
